# epic,raj2000,dej2000,kepmag
227559513,273.348767,-17.844499,11.658
227538699,273.355381,-17.898396,11.718
227543405,273.354868,-17.886137,12.401
227552114,273.390909,-17.863499,11.986
227553549,273.355132,-17.859871,14.97
227542066,273.330206,-17.889618,12.967
227544692,273.329506,-17.882925,11.128
227534190,273.339761,-17.909903,12.278
226547563,272.358399,-20.325306,14.73
227543402,273.349469,-17.886139,13.179
227538384,273.35786,-17.899183,13.718
224794507,270.517201,-23.628374,12.1
227553507,273.341337,-17.859959,12.404
224280190,274.379833,-24.530257,14.46
228147644,264.707042,-16.011512,14.904
222904354,271.154099,-26.811268,14.88
226968315,263.318527,-19.301554,14.823
226447463,264.705525,-20.554454,14.813
226694186,263.787752,-19.979499,14.789
226876125,264.307821,-19.529022,14.751
222399381,274.51443,-27.550883,14.78
226564613,263.63567,-20.285476,14.767
222465549,274.29384,-27.455858,14.544
226742929,263.965519,-19.860401,14.654
222941874,275.475609,-26.755323,14.587
223155850,275.348608,-26.428374,14.584
226936070,263.372879,-19.37886,14.549
226480658,263.248996,-20.479743,15.016
226696123,264.450619,-19.974984,15.39
226290767,264.087327,-20.885683,15.389
226909661,264.276219,-19.445003,15.379
226276972,264.176019,-20.914763,15.323
226546818,264.044999,-20.327045,15.303
222513336,270.697556,-27.386246,15.295
226958190,264.265794,-19.325954,15.294
226296275,264.255464,-20.8743,15.014
222605741,274.212029,-27.250749,15.204
226472639,264.09068,-20.497998,15.137
226371609,263.473588,-20.716473,14.453
226768290,262.805655,-19.796947,15.124
224002626,273.44734,-25.025417,15.102
222393846,275.547905,-27.558769,15.079
226582044,263.058692,-20.244964,15.072
226950687,264.323901,-19.34374,15.068
226758086,263.378735,-19.822563,15.066
226679131,263.876738,-20.015937,15.203
226603064,263.439877,-20.196174,14.439
222569485,275.040885,-27.303726,14.2
222996651,275.545617,-26.672879,13.732
223252417,267.460039,-26.275826,13.715
227729515,265.266912,-17.379384,13.687
224182751,274.035538,-24.706903,13.533
222769995,275.35791,-27.010081,13.446
224177119,274.559427,-24.717265,13.233
222195813,274.73758,-27.848559,13.209
224412970,274.683629,-24.290631,13.17
223122781,274.959756,-26.479833,13.777
224661760,273.66738,-23.853725,13.162
226848032,264.261686,-19.598375,12.923
222170317,274.433688,-27.887296,12.659
222553388,273.797593,-27.327677,11.984
224689894,278.474936,-23.805034,11.633
226263932,263.41415,-20.941665,15.449
222469299,271.627603,-27.450577,15.536
228129073,264.725848,-16.073992,13.06
226911541,264.242039,-19.440278,13.809
226286176,263.67886,-20.895495,13.826
222541897,273.859389,-27.344443,13.858
226470845,264.609027,-20.501937,14.361
223977995,274.231158,-25.067417,14.282
222092065,273.988189,-28.005869,14.274
227585390,265.258924,-17.777316,14.254
226926619,263.842042,-19.402203,14.238
226584143,264.112457,-20.240189,14.192
226302750,263.489898,-20.860265,14.186
226488703,263.42086,-20.461063,14.147
224099259,274.896387,-24.857172,14.132
223947031,273.933944,-25.120037,14.073
226639811,264.388912,-20.109535,14.067
224700649,278.558611,-23.786726,14.053
226960021,264.033485,-19.321505,14.039
222551868,274.71043,-27.329794,13.963
226289619,263.286382,-20.888188,13.938
226879801,263.728701,-19.519736,13.926
226543615,264.007467,-20.334356,14.387
226435218,263.351007,-20.581025,15.479
222440330,271.820094,-27.491902,15.543
222366123,271.46785,-27.598852,15.814
222917706,271.188422,-26.791316,15.813
222002937,271.702926,-28.140769,15.81
222001328,271.934157,-28.143088,15.809
222406223,271.720872,-27.540851,15.803
221802356,271.416989,-28.445862,15.821
222170135,271.790181,-27.887567,15.795
222184746,271.575854,-27.865495,15.785
222752301,271.293251,-27.03594,15.763
222556570,271.594916,-27.323032,15.758
222146591,271.906294,-27.923384,15.744
222901159,271.155837,-26.81608,15.743
222807761,271.22007,-26.954782,15.743
221991290,271.704748,-28.158255,15.74
222572840,271.60739,-27.298806,15.737
222218055,271.905919,-27.815117,15.792
221980326,271.583625,-28.17477,15.824
222083205,271.875016,-28.019456,15.834
222517686,272.072628,-27.38005,15.838
222589192,271.65448,-27.2751,15.526
221855684,271.537902,-28.363378,15.99
222231895,271.457934,-27.794668,15.95
222791769,271.730746,-26.97823,15.918
221801533,271.490803,-28.447148,15.902
222094935,271.833667,-28.001481,15.895
222908393,271.519607,-26.805255,15.887
222915982,271.605333,-26.793852,15.882
222220221,271.417461,-27.811905,15.876
221731586,271.488155,-28.56019,15.873
222311911,271.468542,-27.6774,15.87
222076670,271.84236,-28.029423,15.84
222845331,271.249549,-26.898806,15.737
222219686,272.141848,-27.812674,15.734
222780033,271.650497,-26.995286,15.582
222157239,272.032955,-27.906956,15.581
222296622,271.512963,-27.699768,15.57
221888666,271.362023,-28.313022,15.566
222414803,271.588515,-27.528484,15.547
222553938,271.632321,-27.32687,15.541
221723022,271.619997,-28.574296,15.54
226466534,263.881041,-20.511825,15.761
226729576,264.276776,-19.893509,15.752
222037354,271.531833,-28.088945,15.658
226224032,264.115008,-21.02339,15.602
222151933,271.292126,-27.915056,15.585
222339972,271.351013,-27.636669,15.709
222157584,271.241541,-27.906428,15.703
221745727,271.657843,-28.536864,15.688
222509184,272.174508,-27.392388,15.684
222360646,271.386831,-27.606852,15.675
222072613,271.646961,-28.035629,15.648
222309251,271.474487,-27.681165,15.632
222843060,271.748637,-26.90214,15.609
221918659,271.735317,-28.267791,15.604
222270477,271.931805,-27.738026,15.734
226476890,264.073118,-20.488421,14.39
222830313,271.514467,-26.921476,15.502
226558313,263.061063,-20.30028,14.784
226298559,264.365432,-20.869345,14.766
223646517,273.999344,-25.628081,14.755
224013128,274.346729,-25.007252,14.747
222176508,271.715208,-27.877775,14.698
224100869,273.367105,-24.85427,14.787
222590100,275.240529,-27.273758,14.618
222673680,274.818179,-27.151281,14.531
227052770,263.611474,-19.098974,14.522
226481231,264.533728,-20.478401,14.472
222319020,275.33568,-27.667138,14.463
226364977,263.711895,-20.730472,14.408
223257422,274.090633,-26.267792,14.403
222392251,274.80549,-27.561049,14.396
222394332,275.201067,-27.558079,14.659
222688996,274.919201,-27.128829,14.818
222082127,271.866757,-28.021038,15.723
224362156,274.566644,-24.381433,15.619
222487097,270.695843,-27.424863,15.571
222683750,276.456319,-27.136375,15.524
222189898,272.023517,-27.857588,15.524
222758304,271.57454,-27.027192,15.452
223950272,273.724407,-25.114637,15.441
222668508,273.775422,-27.158898,15.343
226354727,264.234346,-20.752017,15.326
222223205,274.246197,-27.80753,15.219
226635995,263.152362,-20.118635,15.098
222411842,274.504766,-27.532867,15.093
226633525,263.126054,-20.124567,15.09
222146454,273.938114,-27.923574,15.073
225966075,262.929454,-21.531514,14.908
226376214,264.292842,-20.706814,14.825
222289639,271.496165,-27.709948,15.503
222498352,274.715054,-27.408249,15.86
226619552,264.096777,-20.157389,14.36
222444566,273.983756,-27.485898,13.657
248368903,274.54514,-27.266273,13.648
222427703,275.13528,-27.510106,13.641
221968183,271.807431,-28.192845,13.579
226334876,264.20875,-20.793268,13.557
227601765,265.096849,-17.735018,13.519
222160975,274.125155,-27.901323,13.496
223939767,273.326657,-25.132181,13.46
222672802,276.049993,-27.152617,13.434
223623369,274.005527,-25.666946,13.685
226774328,263.068252,-19.781831,13.372
222481372,273.817311,-27.433207,13.251
222702912,271.484771,-27.108469,11.413
222265697,273.974266,-27.744968,11.489
222316908,274.799736,-27.670242,12.478
224510238,273.759669,-24.117135,12.624
226484756,264.111871,-20.470264,12.633
224188328,273.68616,-24.696839,12.747
222208483,273.924615,-27.829588,12.85
223659441,274.256217,-25.606139,12.974
226865747,264.441294,-19.55501,13.317
224628092,278.436824,-23.911404,13.794
223629658,274.219114,-25.656245,14.338
222741210,276.087434,-27.052126,14.335
222763743,275.521601,-27.019337,14.335
222575532,274.781324,-27.294785,14.321
222557988,274.591913,-27.320947,14.267
226244584,264.114162,-20.980821,14.246
222854683,271.376174,-26.88489,14.237
224564787,274.303735,-24.021563,14.212
222361076,274.683346,-27.606199,14.044
222563473,274.415806,-27.31275,14.007
222579973,274.289105,-27.288391,14.001
222350668,274.545801,-27.621413,13.934
226838013,263.967048,-19.623269,13.91
227485308,265.433644,-18.035776,13.907
227774446,265.244593,-17.243619,13.897
222499429,274.678065,-27.406656,13.874
226235777,263.785256,-20.99895,13.836
222340068,274.731138,-27.636521,14.373
222609967,271.84001,-27.24474,15.883
248368904,271.83629,-28.033117,16.1
222822746,270.350221,-26.932728,15.243
222894047,270.455903,-26.82682,15.225
222296701,271.478742,-27.699662,15.213
221930559,271.415117,-28.24965,15.204
222703234,270.681384,-27.108007,15.175
222753500,270.668765,-27.034227,15.167
222760161,270.842852,-27.024513,15.151
221879825,271.401842,-28.326351,15.143
222703551,270.836304,-27.107536,15.137
222868004,270.592827,-26.865309,15.134
222243047,271.465649,-27.777997,15.11
222886522,270.789778,-26.837929,15.095
222808213,270.526787,-26.954086,15.087
221827455,271.497672,-28.406706,15.086
222844893,270.587611,-26.899458,15.148
222170295,271.467529,-27.887329,15.273
222545468,270.860519,-27.339127,15.285
222103241,271.363891,-27.989111,15.5
222282569,271.919162,-27.720398,15.493
222517371,272.080287,-27.380484,15.482
222001341,271.725235,-28.143078,15.449
222441601,271.644625,-27.490084,15.449
221887964,271.89305,-28.314071,15.443
222406832,271.60619,-27.539983,15.429
222156695,271.381873,-27.907777,15.415
222644522,271.777505,-27.193966,15.385
222789209,271.282811,-26.981948,15.365
222233642,271.791123,-27.792054,15.36
222904218,271.678067,-26.811464,15.349
222533076,270.963475,-27.357515,15.285
222020188,271.851616,-28.11495,15.075
222563094,270.641897,-27.313311,15.074
222887550,271.275504,-26.836405,15.055
222666381,270.728326,-27.161966,15.045
222252159,272.22129,-27.764729,14.325
222686870,270.4108,-27.13184,14.308
222522500,270.897641,-27.373021,14.307
222695471,271.643855,-27.119529,14.302
222929385,271.222096,-26.773922,14.301
222136221,271.866934,-27.938826,14.234
221773945,271.779857,-28.490976,14.228
222596941,271.52146,-27.263714,14.221
222521106,270.834994,-27.375029,14.122
222590880,270.870865,-27.272551,14.089
222627308,270.694961,-27.219156,14.053
222983439,271.328843,-26.693018,14.048
221718350,271.583832,-28.582079,14.04
222594016,271.625626,-27.268002,13.936
222509871,270.822766,-27.39138,13.58
222533695,270.806949,-27.356546,13.3
222958300,271.524515,-26.730837,14.357
222063900,271.578788,-28.04883,13.099
222806825,270.720821,-26.956196,14.432
222522331,270.80196,-27.373289,15.027
222548618,271.601199,-27.334597,14.989
221965093,271.860688,-28.197599,14.942
222525091,270.899741,-27.369141,14.891
222551169,270.617169,-27.330847,14.86
222613836,270.798263,-27.23901,14.843
222806673,270.563232,-26.956438,14.837
222148346,271.670094,-27.920581,14.773
222511853,270.792793,-27.388453,14.733
221937241,271.770244,-28.239511,14.718
222883371,271.081059,-26.842596,14.685
222818259,270.518674,-26.939335,14.629
222194796,271.772316,-27.850157,14.619
222843787,271.105857,-26.901091,14.586
221995510,271.869136,-28.15193,14.432
222656365,274.836243,-27.176676,13.173
224361631,267.128756,-24.382412,13.834
224402431,274.163339,-24.309275,11.931
222209457,273.311852,-27.82814,12.911
222001111,273.015382,-28.14339,10.79
225166718,267.173164,-23.00746,11.782
224847398,266.380899,-23.540207,12.725
224330915,271.096782,-24.437976,9.174
224446184,271.085662,-24.231886,10.196
224314764,271.086584,-24.46735,13.948
224312151,271.084869,-24.472063,14.293
224321494,271.138415,-24.454953,14.064
224327278,271.202119,-24.444556,13.957
248368905,271.1817,-24.4606,15.7
224415423,271.170332,-24.286351,16.339
248368906,271.1462,-24.4367,16.3
224379078,270.89987,-24.351033,14.371
224389484,270.911254,-24.332455,14.527
224389138,270.935578,-24.333025,13.886
224392324,270.925772,-24.327197,14.231
224413935,270.794647,-24.288903,14.292
224417127,270.880575,-24.283181,15.141
224420233,270.87988,-24.277546,15.98
224431765,270.848798,-24.257152,13.869
224412309,271.024754,-24.29174,14.666
248368907,270.8571,-24.3492,15.2
248368908,270.846012918,-24.4679841667,16.1
224332620,270.84413,-24.434881,11.858
224352677,270.783286,-24.3986,13.481
224364733,270.830957,-24.376851,14.472
224367988,270.838781,-24.370897,13.376
224369616,270.844127,-24.368011,10.262
224365014,270.858208,-24.376351,12.901
224341656,270.844367,-24.418556,14.39
224412458,271.098669,-24.29146,15.892
224328215,271.12865,-24.442844,13.957
224444934,271.12028,-24.234043,12.047
224381393,271.238921,-24.346821,10.502
224467724,271.091044,-24.193742,14.034
224387244,270.724801,-24.336447,15.243
224493585,270.599026,-24.147018,14.55
224450714,271.251829,-24.22412,14.054
224426643,271.376387,-24.26629,14.188
224316091,271.189716,-24.464914,15.441
224313065,271.170978,-24.470499,13.819
224311432,271.164379,-24.473396,13.854
224386961,270.961226,-24.336971,14.339
224419741,271.021253,-24.278379,16.171
224320688,271.245928,-24.456474,10.871
224314197,270.858105,-24.468383,15.34
224345928,270.779004,-24.410833,12.893
224393028,270.911309,-24.325932,14.821
224290871,270.951053,-24.510863,14.709
248368909,271.114007918,-24.2408519443,16.3
224359310,271.256597,-24.386744,14.203
224380202,270.726208,-24.349039,14.336
224463623,270.702246,-24.201097,16.107
224319473,271.222697,-24.458635,13.602
224359694,271.229003,-24.386053,15.913
224392069,271.183453,-24.327661,14.248
224422316,271.090974,-24.273916,15.781
224409672,271.074477,-24.296344,15.739
224433745,271.05569,-24.253746,16.052
224305947,271.110369,-24.483445,14.198
224317366,271.088874,-24.462525,15.046
224430834,270.633593,-24.25887,14.523
224418655,270.992736,-24.280359,14.584
224417043,270.980265,-24.283324,14.115
224400745,270.718573,-24.312338,14.075
224351290,271.234398,-24.401008,11.74
224314265,271.143375,-24.468224,11.98
224311447,271.199117,-24.473376,11.297
224444697,271.090887,-24.234486,13.673
224408806,271.219647,-24.297953,11.357
224316080,271.086376,-24.464941,13.948
224439742,271.081378,-24.243156,12.202
224319871,271.078357,-24.457926,14.781
224440447,271.074123,-24.241968,13.397
224451806,271.072836,-24.222301,15.869
224410960,271.069232,-24.294097,15.536
224308921,271.093979,-24.478019,14.885
248368910,271.095,-24.274,16.2
224409162,271.106623,-24.297236,14.727
224317352,271.104252,-24.462568,11.487
224420797,271.067159,-24.27658,12.495
224433249,271.10139,-24.254654,12.044
224436629,271.065555,-24.248715,12.653
224451295,271.006279,-24.223179,16.157
224396425,271.000308,-24.319986,15.014
248368911,270.9887,-24.2694,15.7
224436688,271.024017,-24.248615,16.018
224430588,271.059979,-24.259299,14.913
224419990,271.059597,-24.277979,12.571
224450496,271.057787,-24.224476,12.226
224403700,271.054818,-24.306956,13.828
224427407,270.850764,-24.264987,13.911
224437099,271.08645,-24.247858,13.437
224460976,271.040811,-24.205888,13.312
224428514,271.090341,-24.263061,13.419
224340256,271.214998,-24.421069,14.316
224382041,271.210652,-24.345636,15.713
248368912,271.2067,-24.2563,15.9
224326168,271.204994,-24.446557,15.518
224328040,271.202567,-24.443194,13.03
224353581,271.199924,-24.396974,14.394
224356395,271.199368,-24.391831,14.853
224407525,271.197662,-24.300391,12.684
248368913,271.1979,-24.3639,15.0
224457138,270.861336,-24.212683,11.907
224394353,270.916103,-24.323624,13.848
224461008,270.922602,-24.205822,14.595
224402329,271.178225,-24.309459,10.62
248368914,270.9542,-24.2614,16.3
224297601,271.09806,-24.498673,16.125
224432562,270.721276,-24.255837,14.397
224390120,270.722347,-24.331253,13.982
224387008,270.738584,-24.336881,14.577
224386438,270.985643,-24.337912,14.541
224321303,271.191304,-24.455346,14.262
224308209,271.127976,-24.479347,13.879
224327080,271.168572,-24.444908,16.289
224362997,271.17597,-24.379919,15.328
224439430,271.060391,-24.243688,9.298
224419164,270.945337,-24.279437,10.907
224379865,271.188419,-24.349623,15.594
224420667,271.186406,-24.276778,17.166
224438171,271.120046,-24.245878,14.876
224328571,271.121544,-24.44218,16.086
224453162,271.187467,-24.219835,16.181
224394253,271.162356,-24.323793,11.435
224321306,271.186142,-24.455342,15.757
224352275,271.184338,-24.399298,14.539
224439122,271.183802,-24.244185,16.072
224330659,271.174683,-24.438466,14.119
224380390,271.17351,-24.348697,10.046
224399118,271.172673,-24.315246,14.162
224316568,271.169314,-24.464034,15.819
224424757,271.165137,-24.269697,14.623
248368915,271.1492,-24.4444,15.4
224319597,271.147224,-24.45841,14.281
224322753,271.140372,-24.452698,13.822
226109458,272.11862,-21.253107,7.739
227321317,273.17126,-18.441795,15.139
227329786,273.637427,-18.420755,10.743
225514799,270.868187,-22.383029,12.164
225377677,270.593083,-22.6334,14.933
225389644,269.783272,-22.611862,13.968
225587997,269.950933,-22.247822,12.951
224504404,268.834212,-24.127335,13.312
227698422,273.426985,-17.470057,12.798
226927839,271.987326,-19.399127,9.627
248368916,270.51696,-23.6281,11.8
248368917,270.143,-22.7942,10.531
226564268,272.437736,-20.286207,13.945
222498720,275.088153,-27.407709,6.965
225102663,273.260399,-23.117282,6.964
222583990,268.392594,-27.282646,6.949
223370117,275.301699,-26.085116,6.921
225330052,270.757135,-22.718491,6.863
227249894,274.680252,-18.619671,6.875
226361653,270.655498,-20.737627,6.876
223738147,272.2252,-25.473057,6.915
227307730,274.594612,-18.475641,6.916
226557170,264.036863,-20.303066,12.375
225576868,275.752502,-22.268249,12.652
